"TITULO_FULL","TITULO_LIMPIO","ENLACE","FECHA_PUBLICACION_FULL","FECHA","HORA","VISUALIZACIONES","ME_GUSTA","PORCENTAJE_LIKES","COMENTARIOS","COMPARTIDOS","FAVORITOS","PORCENTAJE_FAVORITOS"
"Nuri – ¿Como ser científico de datos en 6 meses? @a2capacitacion  https://www.linkedin.com/in/marioruizlinkedin/ #Rstats #cienciadedatos #dataanalyst #pythonvsr #visualizaciondedatos #estadistica #machinelearning #inteligenciaartificial #analisisdedatos #nuri","¿como ser científico de datos en 6 meses?","https://www.tiktok.com/@nuri.datascience/video/7528464377192680712","2025/07/18 16:46:50","2025-07-18","16:46:50",47914,4138,8.64,105,508,2436,5.08
"Nuri DataGym - mejores canales de YouTube para aprender ciencia de datos Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning #ia #inteligenciaartificial #estadistica","mejores canales de youtube para aprender ciencia de datos sígueme para ver videos sobre análisis de datos y machine learning.","https://www.tiktok.com/@nuri.datascience/video/7522289060820438280","2025/07/02 01:23:29","2025-07-02","01:23:29",36490,3075,8.43,46,791,2524,6.92
"Nuri DataGym - Estadística parte 1 Sígueme para ver videos sobre análisis de datos y machine learning. Mi LinkedIn es: https://www.linkedin.com/in/marioruizlinkedin #dataanalytics #machinelearning #ia #inteligenciaartificial #estadistica #cienciadedatos #datascientist ","estadística parte 1 sígueme para ver videos sobre análisis de datos y machine learning. mi linkedin es:","https://www.tiktok.com/@nuri.datascience/video/7521167356522089735","2025/06/29 00:50:43","2025-06-29","00:50:43",28071,2451,8.73,47,126,1270,4.52
"Nuri - News ","news","https://www.tiktok.com/@nuri.datascience/video/7523740204277058834","2025/07/05 23:14:43","2025-07-05","23:14:43",14816,193,1.3,20,40,41,0.28
"Nuri - Que debería aprender primero... Excel, SQL o Python?","que debería aprender primero... excel, sql o python?","https://www.tiktok.com/@nuri.datascience/video/7525123056889548039","2025/07/09 16:40:50","2025-07-09","16:40:50",12898,792,6.14,15,25,289,2.24
"Nuri DataGym - libros machine learning y ciencia de datos parte 2 Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning  #ia #inteligenciaartificial  #estadistica #cienciadedatos #datascientist ","libros machine learning y ciencia de datos parte 2 sígueme para ver videos sobre análisis de datos y machine learning.","https://www.tiktok.com/@nuri.datascience/video/7521812083244059911","2025/06/30 18:32:35","2025-06-30","18:32:35",12085,966,7.99,8,58,465,3.85
"Respuesta a @jefr19854 ","respuesta a","https://www.tiktok.com/@nuri.datascience/video/7522975982408518930","2025/07/03 21:49:10","2025-07-03","21:49:10",11601,593,5.11,31,125,326,2.81
"Nuri – ¿Cuándo utilizar R como Científico de Datos... y Cuándo No? #Rstats #cienciadedatos #dataanalyst #pythonvsr #visualizaciondedatos #estadistica #machinelearning #inteligenciaartificial #analisisdedatos #nuri","¿cuándo utilizar r como científico de datos... y cuándo no?","https://www.tiktok.com/@nuri.datascience/video/7526991387032685832","2025/07/14 17:30:58","2025-07-14","17:30:58",8884,611,6.88,24,35,198,2.23
"Respuesta a @chetos_delospuffsxd ","respuesta a","https://www.tiktok.com/@nuri.datascience/video/7522153917933784328","2025/07/01 16:39:04","2025-07-01","16:39:04",5944,247,4.16,39,11,93,1.56
"Nuri  - libros machine learning y ciencia de datos parte 6 Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning #ia #inteligenciaartificial #estadistica","libros machine learning y ciencia de datos parte 6 sígueme para ver videos sobre análisis de datos y machine learning.","https://www.tiktok.com/@nuri.datascience/video/7523278235103153416","2025/07/04 17:21:58","2025-07-04","17:21:58",5530,380,6.87,15,30,209,3.78
